tconst	averageRating	numVotes
tt0015324	8.2	40565
tt0016332	7.9	9117
tt0017925	8.1	79621
tt0019421	7.9	13001
tt0021156	7.1	5500
tt0022100	8.3	140960
tt0022158	7.5	11272
tt0023382	7.3	3747
tt0023969	7.8	55041
tt0025316	8.1	92274
tt0026752	7.7	20500
tt0026778	7.9	30190
tt0027996	7.9	19441
tt0028772	7.6	12837
tt0029843	7.9	46655
tt0029870	7.9	19573
tt0031210	7.5	9836
tt0031381	8.1	286063
tt0031867	8	12562
tt0031983	6.9	2258
tt0032138	8	367951
tt0032551	8	84952
tt0032599	7.9	52737
tt0032904	7.9	62556
tt0032976	8.1	121406
tt0033238	7.8	8789
tt0033870	8	147453
tt0034167	7.7	15148
tt0034240	7.9	23704
tt0034248	7.4	32100
tt0034272	7.2	3951
tt0034583	8.5	514382
tt0034881	7.1	6734
tt0035140	7.9	14930
tt0035432	7.4	8224
tt0035575	7.7	13949
tt0035896	6.9	8257
tt0036613	8	64478
tt0036723	6.8	4744
tt0036855	7.8	23941
tt0037059	7.6	20035
tt0037382	7.8	30558
tt0038109	7.6	42802
tt0038355	7.9	77943
tt0038369	7.2	7369
tt0038559	7.7	27492
tt0038787	7.9	91134
tt0039192	7.8	21202
tt0039504	7.1	744
tt0040051	7.8	200
tt0040525	7.6	26327
tt0040536	8	10858
tt0040552	6.2	950
tt0040746	8	127400
tt0040806	7.6	6754
tt0040897	8.2	112570
tt0041038	7.8	2038
tt0041452	8.1	13508
tt0041546	8	34013
tt0041716	7.4	15647
tt0041951	7.4	54
tt0042041	8.1	29261
tt0042192	8.2	118833
tt0042279	6.7	758
tt0043014	8.4	198238
tt0043228	7.9	190
tt0043265	7.7	70640
tt0043278	7.2	29972
tt0043338	8.1	30945
tt0044081	8	97860
tt0044093	4.1	10
tt0044243	6.8	15
tt0044284	8.4	146
tt0044706	7.9	96057
tt0045152	8.3	215238
tt0045519	6.2	5
tt0045793	7.6	42733
tt0045943	7.3	10252
tt0045960	7	151
tt0046150	8	8
tt0046250	8	125623
tt0046303	7.6	36545
tt0046359	8	50587
tt0046587	6.8	163
tt0046593	8.5	1610
tt0046637	8	86
tt0046643	7.5	50
tt0046855	6.1	125
tt0046864	6.5	6
tt0046912	8.2	155278
tt0047296	8.1	139922
tt0047396	8.4	436887
tt0047478	8.6	310957
tt0047522	7.6	15595
tt0047702	8.1	103
tt0047745	7.8	39
tt0047768	7.2	120
tt0047852	3.5	14
tt0047961	7.8	16
tt0048028	7.9	39715
tt0048067	7.4	5
tt0048302	6.2	26
tt0048317	7.1	3648
tt0048371	8	5
tt0048378	5.9	198
tt0048462	7.2	11
tt0048545	7.7	82226
tt0048562	6.9	168
tt0048728	7.4	63679
tt0048893	8.2	264
tt0049189	6.3	7447
tt0049261	7.6	33539
tt0049408	7.4	23553
tt0049456	7.4	10437
tt0049473	8.2	147
tt0049669	8.6	219
tt0049833	7.9	62752
tt0050013	7	42
tt0050031	8	6
tt0050083	8.9	676143
tt0050105	7.5	27334
tt0050212	8.1	200580
tt0050259	8	231
tt0050318	7.9	33
tt0050419	7	26574
tt0050468	7.2	13770
tt0050695	6.4	90
tt0050783	8.1	42228
tt0050976	8.2	161366
tt0050986	8.2	94149
tt0050988	5.9	7
tt0051036	8.1	27552
tt0051201	8.4	106362
tt0051312	7.7	137
tt0051344	8.2	23
tt0051523	8	121
tt0051680	7	14
tt0051739	7.1	3207
tt0051808	8.1	33864
tt0052236	6	20
tt0052237	6.7	20
tt0052238	6.5	28
tt0052239	6.4	25
tt0052240	6.5	25
tt0052241	6.3	29
tt0052311	8	97454
tt0052357	8.3	357522
tt0052365	7.1	12751
tt0052458	8.3	26
tt0052511	5.5	128
tt0052618	8.1	216448
tt0052647	7.9	48
tt0052730	5.7	13
tt0052866	7.2	6
tt0052952	7	5
tt0053125	8.3	294723
tt0053137	7.1	11822
tt0053172	7.4	15298
tt0053303	5.8	22
tt0053304	6.5	20
tt0053305	6.7	21
tt0053384	8	73
tt0053405	5.3	6
tt0053581	8.8	33
tt0053722	6.9	50
tt0053723	6.8	42
tt0053779	8	65343
tt0053827	7.6	23
tt0053946	8.1	26913
tt0053966	6.3	7
tt0053974	5.8	12
tt0054015	6.8	44
tt0054028	6.8	5
tt0054057	6.3	37
tt0054084	6.8	4467
tt0054215	8.5	594135
tt0054331	7.9	122849
tt0054338	7.3	27
tt0054339	6.8	19
tt0054340	7	25
tt0054452	7.6	3006
tt0054513	7.5	89
tt0054532	7.6	130
tt0054645	6	32
tt0054654	6.3	36
tt0054698	7.6	164299
tt0054749	7.8	9186
tt0054754	6.9	41
tt0054796	6.7	30
tt0054994	7	91
tt0054996	6.4	150
tt0055031	8.2	68204
tt0055130	6.7	29
tt0055131	7.9	15
tt0055132	6.6	65
tt0055281	6.4	65
tt0055433	8	10
tt0055443	6.2	6
tt0055476	7	19
tt0055477	7.4	17
tt0055663	8.2	46
tt0055685	6.9	39
tt0055704	7.2	25
tt0055808	6.8	10
tt0055929	8.3	611
tt0055952	7.9	224
tt0055961	7.9	76
tt0055989	6.8	70
tt0056033	9	39
tt0056199	8.1	8
tt0056250	7.6	47
tt0056266	7.2	24
tt0056295	6.5	48
tt0056324	7.7	33
tt0056359	7.9	29
tt0056373	6.9	192
tt0056374	8.8	150
tt0056398	6.9	46
tt0056441	6.5	184
tt0056508	7	38
tt0056523	7.3	31
tt0056578	7.7	15
tt0056590	7	29
tt0056687	8.1	49338
tt0056754	7.7	43
tt0056792	7.8	27
tt0056798	6	57
tt0056801	8	107287
tt0056809	6.3	24
tt0056923	7.9	67111
tt0056980	7.9	404
tt0057010	6.5	35
tt0057157	7	124
tt0057201	7.5	133
tt0057255	8.8	37
tt0057345	7.6	28337
tt0057413	7.1	47775
tt0057451	5.7	27
tt0057456	6.9	33
tt0057526	8	50
tt0057585	7.6	5
tt0057668	7.1	30
tt0057671	6.8	31
tt0057817	7.2	38
tt0057828	8	6
tt0057867	8.5	15
tt0057874	7.5	11
tt0057877	7.8	13444
tt0057927	7.5	16
tt0057959	7.1	9
tt0057976	8.1	14
tt0058015	7.5	14
tt0058078	7.3	38
tt0058116	7	9
tt0058180	3.8	5
tt0058335	7.5	8363
tt0058385	7.8	85334
tt0058613	7.1	29
tt0058614	7.1	30
tt0058640	8.3	23
tt0058746	6.7	31
tt0058836	7.7	88
tt0058853	7.3	76
tt0058893	7.7	37
tt0058900	7.6	316
tt0058937	8.3	30
tt0059020	8	923
tt0059053	8.3	13
tt0059061	6.9	35
tt0059092	6.5	47
tt0059510	6.8	14
tt0059513	6.5	37
tt0059569	7.8	17
tt0059749	7.6	14687
tt0059751	7	20
tt0059752	8	67
tt0059753	7.7	5160
tt0059759	7	26
tt0059808	7.2	31
tt0059830	7.1	16
tt0059847	6.8	5
tt0059849	8.8	43
tt0059854	7	136
tt0059886	7.9	70
tt0059956	6.4	3380
tt0060028	8.3	72045
tt0060031	8.6	61
tt0060119	6.8	6
tt0060121	6.5	6210
tt0060180	6.9	7
tt0060208	6.3	9
tt0060255	7.6	8
tt0060282	7.3	27
tt0060284	7.1	9
tt0060292	7.5	11
tt0060331	7.8	10
tt0060367	8.8	6
tt0060384	7.5	227
tt0060463	6.5	4184
tt0060556	7.8	33
tt0060643	7.8	56
tt0060656	7.3	26
tt0060682	7	11
tt0060715	7.7	56
tt0060827	8.1	100458
tt0060953	7.3	6
tt0061025	7.2	27
tt0061027	7.8	4624
tt0061143	8.8	34
tt0061178	7.9	26
tt0061184	8	68257
tt0061185	8.9	14
tt0061312	6	9
tt0061348	6.2	8
tt0061422	6.7	18
tt0061552	7.4	408
tt0061554	6.7	6
tt0061721	8.4	18
tt0061915	7.6	8
tt0061940	8.1	40
tt0061967	9.1	12
tt0062074	7.9	7
tt0062095	7	8
tt0062280	7	5
tt0062423	8.6	37
tt0062568	7.3	5562
tt0062578	7.1	2130
tt0062599	8.5	25
tt0062622	8.3	593563
tt0062717	7.4	26
tt0062750	7.7	7
tt0062910	7	6
tt0063046	8	407
tt0063047	6.9	12
tt0063100	6.9	2000
tt0063227	7.9	28611
tt0063266	6.6	5
tt0063298	7.3	12
tt0063343	8.3	15
tt0063381	7.6	1046
tt0063442	8	163758
tt0063566	6.2	9
tt0063590	7	27
tt0063628	8.1	338
tt0063641	7.5	21
tt0063676	7.4	8
tt0063743	8.7	31
tt0063875	7.3	40
tt0063927	7	1312
tt0063928	7.1	595
tt0063955	7.9	428
tt0064116	8.5	298281
tt0064173	8.5	11
tt0064174	7.5	30
tt0064184	7.3	13
tt0064214	8.5	21
tt0064304	7.1	40
tt0064314	6.8	5
tt0064367	9	5
tt0064404	6.6	7
tt0064468	7.9	152
tt0064475	7.5	109
tt0064525	7.8	13
tt0064636	7.9	84
tt0064648	6.2	116
tt0064678	5	5
tt0064692	7.9	35
tt0064705	6.1	121
tt0064725	7.6	1531
tt0065017	8.2	70
tt0065074	6.9	7
tt0065087	8	287
tt0065098	7	42
tt0065141	6.6	37
tt0065158	8.6	25
tt0065190	8.5	6
tt0065232	7.5	20
tt0065303	7.8	184
tt0065317	6.9	2648
tt0065327	8	4682
tt0065357	7.5	53
tt0065381	7.8	464
tt0065404	8	21
tt0065487	7.2	22
tt0065608	8.1	73
tt0065609	7	10
tt0065682	7.3	13
tt0065689	9	8
tt0065697	7.2	10
tt0065725	7.2	6
tt0065745	6.8	5
tt0065811	7.9	56
tt0065822	6.2	12
tt0065860	8.8	11
tt0065937	7.4	9
tt0065971	8	24
tt0065982	7.3	40
tt0066000	7.4	95
tt0066003	6.8	5
tt0066028	5.5	8
tt0066084	6.1	12
tt0066235	6.7	141
tt0066254	8.7	46
tt0066257	6.8	5
tt0066281	4	5
tt0066625	7.6	1645
tt0066631	7.6	147
tt0066681	8.1	402
tt0066705	7	49
tt0066921	8.3	746571
tt0068646	9.2	1587870
tt0068767	7.4	26044
tt0068935	7.3	31611
tt0069946	6.1	2656
tt0070034	7.7	95120
tt0070723	7.1	56473
tt0070849	7	49101
tt0071129	7.9	39228
tt0071877	7.3	54793
tt0072308	7	38749
tt0072562	8.1	42104
tt0072684	8.1	146904
tt0074802	5.5	1955
tt0074958	8.1	143057
tt0076085	8.1	11497
tt0076759	8.6	1212844
tt0077269	7	25265
tt0077594	6.1	16805
tt0077800	4.1	1664
tt0077975	7.5	110627
tt0078723	5.8	31013
tt0078788	8.4	596733
tt0080388	7.3	14880
tt0080455	7.9	180301
tt0080979	8	31630
tt0082031	6.9	25592
tt0082846	7.6	27224
tt0083922	8.1	56716
tt0085101	7.9	8001
tt0087803	7.1	65474
tt0089881	8.2	110304
tt0091763	8.1	375933
tt0096320	6.1	112509
tt0100802	7.5	298027
tt0102122	3.1	590
tt0110138	3.6	212
tt0117057	6.6	15387
tt0117631	7.7	50821
tt0117731	7.6	116735
tt0119488	8.2	525212
tt0120338	7.8	1030313
tt0120647	6.2	162406
tt0120663	7.4	297714
tt0120746	6.7	167290
tt0161126	8.2	115
tt0165592	7.6	223
tt0165593	7.3	91
tt0168387	7.9	26
tt0190181	7.8	119
tt0200358	7.2	150
tt0212698	7.9	25
tt0212699	7.4	29
tt0217931	6.4	5
tt0233023	7.7	54
tt0242203	8.8	50
tt0242211	8.9	54
tt0259792	8.5	71
tt0260607	6.8	10
tt0297530	7.2	5
tt0297621	6.4	50
tt0298665	7	38
tt0320048	8.3	40
tt0341798	7.8	18
tt0348926	8.7	6
tt0383216	5.7	80697
tt0396335	5.2	6
tt0398430	6.7	10
tt0403808	7.4	13
tt0407402	6	6
tt0441950	7.7	35
tt0453991	8.3	12
tt0499549	7.8	1107137
tt0793361	8.5	66
tt0797756	8.4	14
tt0806910	7.1	2365
tt0815352	8.6	56
tt0914702	7.5	49
tt0958966	8	10
tt0959862	7.2	8
tt0969924	7	13
tt0989125	8	70
tt0990935	8.9	50
tt1077047	7	7
tt1157603	8.7	49
tt1245421	8.2	9
tt1314953	8.3	7
tt1342999	6	6
tt1384817	6.8	8
tt1415092	6.8	57
tt1646046	7.8	8
tt1711895	6.6	7
tt2199914	6.6	7
